iteration,train_rmse,eval_rmse
0,2.242847060161139,2.2647308956763994
1,2.0275386186005053,2.0495188353636684
2,1.833261587014245,1.8547688627596854
3,1.6587319538561,1.6796005988461082
4,1.5000836329347702,1.5201487766571349
5,1.3564865829487824,1.377110427368365
6,1.2273959784510662,1.2475219848434471
7,1.1100054106739532,1.129017258059541
8,1.0041309982228812,1.022719336147389
9,0.9097015977498434,0.9282790607680255
10,0.8230348306368294,0.8410025182098664
11,0.7453048295169724,0.7634856235833879
12,0.6747639753689734,0.6925989483117955
13,0.6118516799195636,0.6296971345034053
14,0.5544617040364728,0.5723836042338658
15,0.5029068783321371,0.5214696093891771
16,0.455871294607783,0.4749147576574129
17,0.4135212420696435,0.43298744905691405
18,0.3753628433190356,0.3952533369501914
19,0.3409369996345984,0.3615082993175374
20,0.31006268651921115,0.33099278652756997
21,0.28227483852519436,0.30437376718478265
22,0.2570835668286919,0.2798395932025647
23,0.23418779423118388,0.258431250213006
24,0.2138120470936313,0.23904361437458704
25,0.19544904907151325,0.22185237364750507
26,0.17902344802000145,0.20639256682044563
27,0.16406250921253743,0.1927887580410736
28,0.15056891160075614,0.18039524756013603
29,0.13858542085351405,0.16952491871420314
30,0.12789417815141813,0.1598666015234339
31,0.1183504244447656,0.15156001932228294
32,0.10974413444566919,0.1441198972135582
33,0.10214211787855879,0.13774677209362848
34,0.09539920010721759,0.13189758024322165
35,0.08949159352594033,0.12713113121787362
36,0.08419708870435647,0.12279144450977682
37,0.07954205545187311,0.11897582480181644
38,0.07548843290395413,0.11566180018438488
39,0.071817340182665,0.11267941093118408
40,0.06861220046269573,0.1102616907627043
41,0.06574854289819611,0.10804806659987715
42,0.06338843558853716,0.10639997680348333
43,0.06106386751701592,0.10461982279178689
44,0.05906197592723764,0.1031835313923321
45,0.05720848284149036,0.10160288083471906
46,0.05566331362732174,0.10018663547857627
47,0.05432536154798667,0.0992710564730729
48,0.0531307040911051,0.09832289400720114
49,0.05212936029649206,0.09753379286628115
50,0.05104378010752347,0.09673534913229782
51,0.05013545222589201,0.09579644797686857
52,0.04931449875446727,0.09513612675656655
53,0.04853130489501326,0.09426164194344196
54,0.04783756331810974,0.09363306606365107
55,0.04735497764213226,0.09335198176863009
56,0.04679277407109105,0.09278230528616548
57,0.04630467487209594,0.0923894233704152
58,0.045836265153859,0.09218643189274263
59,0.04532912422866965,0.09180932898619727
60,0.04490376686666411,0.0913304359689714
61,0.04456440477309272,0.09109551092807795
62,0.04414673503090954,0.09078623666255925
63,0.0437665985575836,0.09045773610952555
64,0.04349039598636021,0.0904021626721816
65,0.04310975659289529,0.0900843091892695
66,0.04288592786012178,0.08995216488406074
67,0.04262188320154463,0.08974007974033983
68,0.04233624761921652,0.08957942182928673
69,0.04210417815714443,0.08956704274056289
70,0.0416827760915623,0.08917408701706009
71,0.04155111763251662,0.089087540822477
72,0.04137456910616398,0.08904979788892778
73,0.04115602910274962,0.08884880686815794
74,0.04099269627409707,0.08873657325378861
75,0.04058951869344164,0.08841053896292711
76,0.04006934486151768,0.08815381225080343
77,0.03981303071231682,0.0881041793074647
78,0.03971561290978746,0.08800600979400554
79,0.0396328854102015,0.08796741305673969
80,0.03941687450833271,0.08785544630715282
81,0.03931555454416252,0.08781216740488902
82,0.03897975654001002,0.0876372726013003
83,0.03891282315866619,0.08759829730131763
84,0.03878630846210216,0.08760811247478369
85,0.03866784349947101,0.08759905705512055
86,0.0385288226557945,0.08761792886696386
87,0.03823344263203238,0.08743669792173335
88,0.03803415102544801,0.0872194717247769
89,0.03784590658674707,0.08708164264266538
90,0.03772341978722886,0.08705055565437544
91,0.03758661143629783,0.08691873795386443
92,0.03739907364380793,0.08686771512407772
93,0.03726999336355638,0.08685693077242951
94,0.03716978970909967,0.08678257926170191
95,0.03690351801704633,0.08665751805829297
96,0.0366746795157579,0.08648889701910435
97,0.03660900619829974,0.08645680109238846
98,0.03651465763435522,0.08647403605025025
99,0.03644539834827676,0.08647088527600896
100,0.03626938253835578,0.08628724371825869
